"Kegg_id","Count"
"K00140",17
"K00703",14
"K00012",9
"K05310",9
"K05752",9
"K12896",8
"K03141",7
"K04733",7
"K10744",7
"K08730",6
"K09260",6
"K09580",6
"K19241",6
"K00942",5
"K08065",5
"K20279",5
"K01081",4
"K02183",4
"K04124",4
"K05349",4
"K10632",4
"K10712",4
"K12343",4
"K12859",4
"K14500",4
"K15040",4
"K00026",3
"K00128",3
"K00164",3
"K00793",3
"K00799",3
"K01006",3
"K01897",3
"K02184",3
"K03626",3
"K03801",3
"K05929",3
"K07195",3
"K12843",3
"K13448",3
"K13494",3
"K13993",3
"K14432",3
"K14484",3
"K14514",3
"K15397",3
"K18160",3
"K18693",3
"K18753",3
"K19476",3
"K20784",3
"K00006",2
"K00279",2
"K00547",2
"K00729",2
"K00819",2
"K00826",2
"K00851",2
"K00889",2
"K00939",2
"K01179",2
"K01213",2
"K01535",2
"K01759",2
"K01785",2
"K01890",2
"K01915",2
"K02295",2
"K02915",2
"K02936",2
"K03142",2
"K03434",2
"K03945",2
"K04730",2
"K06066",2
"K07964",2
"K08678",2
"K09503",2
"K10523",2
"K10604",2
"K10666",2
"K10760",2
"K10803",2
"K12198",2
"K12397",2
"K13412",2
"K13447",2
"K14317",2
"K14442",2
"K14546",2
"K14961",2
"K15889",2
"K15918",2
"K18207",2
"K18985",2
"K00083",1
"K00227",1
"K00261",1
"K00286",1
"K00326",1
"K00365",1
"K00472",1
"K00485",1
"K00487",1
"K00600",1
"K00609",1
"K00627",1
"K00705",1
"K00818",1
"K00844",1
"K00847",1
"K00864",1
"K00876",1
"K00928",1
"K00975",1
"K00995",1
"K01001",1
"K01051",1
"K01054",1
"K01070",1
"K01079",1
"K01115",1
"K01193",1
"K01246",1
"K01379",1
"K01426",1
"K01520",1
"K01602",1
"K01610",1
"K01611",1
"K01674",1
"K01689",1
"K01710",1
"K01762",1
"K01807",1
"K01835",1
"K01853",1
"K01873",1
"K01934",1
"K02115",1
"K02133",1
"K02335",1
"K02738",1
"K02864",1
"K02876",1
"K02893",1
"K02918",1
"K02951",1
"K02969",1
"K03063",1
"K03118",1
"K03124",1
"K03146",1
"K03250",1
"K03360",1
"K03456",1
"K03505",1
"K03695",1
"K04487",1
"K04505",1
"K04564",1
"K04688",1
"K04708",1
"K05280",1
"K05282",1
"K05309",1
"K05643",1
"K05657",1
"K05681",1
"K05933",1
"K06228",1
"K06268",1
"K06627",1
"K06689",1
"K07024",1
"K07232",1
"K07374",1
"K07466",1
"K07901",1
"K08794",1
"K08908",1
"K09008",1
"K09590",1
"K09753",1
"K10396",1
"K10418",1
"K10536",1
"K10583",1
"K10686",1
"K10706",1
"K10728",1
"K10755",1
"K10839",1
"K10903",1
"K10960",1
"K11090",1
"K11091",1
"K11251",1
"K11294",1
"K11352",1
"K11407",1
"K11600",1
"K11649",1
"K11816",1
"K11841",1
"K11996",1
"K12160",1
"K12188",1
"K12373",1
"K12471",1
"K12741",1
"K12811",1
"K12813",1
"K12818",1
"K12830",1
"K12856",1
"K12900",1
"K13280",1
"K13424",1
"K13427",1
"K13434",1
"K13509",1
"K13576",1
"K14399",1
"K14491",1
"K14563",1
"K14674",1
"K14963",1
"K15436",1
"K15920",1
"K16221",1
"K16222",1
"K16904",1
"K17969",1
"K18134",1
"K18211",1
"K18467",1
"K19355",1
"K19613",1
"K20168",1
"K20729",1
"K21278",1
"K21769",1
"K21888",1
